Mach,CD Power-Off
3.2,0.776427145
3.21,0.775670114
3.22,0.774915862
3.23,0.774164325
3.24,0.773415699
3.25,0.772669691
3.26,0.771926516
3.27,0.771186168
3.28,0.770448553
3.29,0.769713579
3.3,0.768981462
3.31,0.76825209
3.32,0.767525367
3.33,0.766801506
3.34,0.766080211
3.35,0.765361773
3.36,0.764645905
3.37,0.76393281
3.38,0.763222384
3.39,0.762514729
3.4,0.761809652
3.41,0.761107363
3.42,0.760407644
3.43,0.759710605
3.44,0.759016157
3.45,0.758324369
3.46,0.757635278
3.47,0.756948772
3.48,0.756264946
3.49,0.7555837
3.5,0.754905032
3.51,0.754228952
3.52,0.753555447
3.53,0.752884528
3.54,0.752216171
3.55,0.7515504
3.56,0.750887103
3.57,0.750226473
3.58,0.749568228
3.59,0.748912633
3.6,0.748259518
3.61,0.747608859
3.62,0.746960762
3.63,0.74631502
3.64,0.745671838
3.65,0.745031099
3.66,0.744392908
3.67,0.743757072
3.68,0.743123677
3.69,0.742492708
3.7,0.74186418
3.71,0.74123807
3.72,0.740614299
3.73,0.739992929
3.74,0.739373993
3.75,0.738757364
3.76,0.738143039
3.77,0.73753111
3.78,0.736921584
3.79,0.736314244
3.8,0.735709295
3.81,0.735106726
3.82,0.734506321
3.83,0.733908299
3.84,0.733312433
3.85,0.732718928
3.86,0.732127578
3.87,0.731538565
3.88,0.730951693
3.89,0.730367052
3.9,0.729784642
3.91,0.729204454
3.92,0.72862638
3.93,0.728050512
3.94,0.727476744
3.95,0.726905269
3.96,0.726335789
3.97,0.725768477
3.98,0.725203245
3.99,0.724640273
4,0.724079159
4.01,0.723520302
4.02,0.722963485
4.03,0.7224087
4.04,0.721855949
4.05,0.721305223
4.06,0.720756505
4.07,0.720209882
4.08,0.719665165
4.09,0.71912254
4.1,0.718581789
4.11,0.718043025
4.12,0.717506218
4.13,0.71697137
4.14,0.716438463
4.15,0.715907516
4.16,0.71537838
4.17,0.71485118
4.18,0.714325896
4.19,0.713802408
4.2,0.713280827
4.21,0.712761034
4.22,0.712243221
4.23,0.711727087
4.24,0.711212814
4.25,0.710700389
4.26,0.710189709
4.27,0.709680773
4.28,0.709173659
4.29,0.70866827
4.3,0.708164595
4.31,0.707662605
4.32,0.707162421
4.33,0.706663909
4.34,0.706167167
4.35,0.705672001
4.36,0.705178581
4.37,0.704686709
4.38,0.704196574
4.39,0.703707966
4.4,0.703221075
4.41,0.702735792
